id,year,number,unit,topic,question_text,question_image,table_headers,option_a,option_b,option_c,option_d,option_e,correct_answer,a mark,tagged
2022-01,2022,1,Dynamics,Vectors and Scalars,Which of the following contains one scalar quantity and one vector quantity?,,,acceleration; displacement,kinetic energy; speed,velocity; weight,potential energy; work,distance; force,E,,1
2022-02,2022,2,Dynamics,Acceleration,"The diagram shows a toy car at rest at the top of a slope.<br>The car is released and travels with a constant acceleration down the slope.[c]{{IMAGE}}[/c]Which row in the table could show the speed of the toy car at P, the speed of the toy car at Q, and the average speed of the car between P and Q?",2022_Q02_Diagram.png,Speed at P (m s⁻¹) | Speed at Q (m s⁻¹) | Average speed between P and Q (m s⁻¹),0 | 2 | 1,1 | 1 | 1,1 | 3 | 2,2 | 3 | 2,2 | 3 | 4,C,,1
2022-03,2022,3,Dynamics,Velocity–Time Graphs,The graph of speed \( v \) against time \( t \) represents the motion of a cyclist over a 20 second period.[c]{{IMAGE}}[/c]The distance travelled by the cyclist in the 20 second period is:,2022_Q03_Diagram.png,,56 m,144 m,160 m,176 m,200 m,D,,1
2022-04,2022,4,Dynamics,Newton's Laws,A student is investigating the motion of water rockets.[c]{{IMAGE}}[/c]Air is pumped into the rocket until the pressure of the air inside is large enough for the water rocket to launch upwards.<br><br>The rocket launches because:,2022_Q04_Diagram.png,,the rocket pushes down on the ground and the ground provides a reaction force pushing up on the rocket,the rocket pushes down on the water and the water provides a reaction force pushing up on the rocket,the water pushes down on the ground and the ground provides a reaction force pushing up on the water,the force applied by the water on the ground is greater than the weight of the rocket producing an unbalanced upward force,the weight of the rocket decreases as water is pushed out of the rocket producing an unbalanced upward force,B,1,1
2022-05,2022,5,Dynamics,Energy,A ball of mass 0.25 kg is released from a height of 6.0 m above the ground.[c]{{IMAGE}}[/c]Which row in the table shows the change in gravitational potential energy and the kinetic energy of the ball when it is at a height of 4.0 m above the ground?,2022_Q05_Diagram.png,Change in gravitational potential energy (J) | Kinetic energy (J),14.7 | 0.0,4.9 | 4.9,9.8 | 4.9,4.9 | 9.8,14.7 | 14.7,B,1,1
2022-06,2022,6,Dynamics,Projectile Motion,Astronauts orbiting in the International Space Station experience 'weightlessness'.<br>A group of students make the following statements to explain 'weightlessness' in the orbiting space station:<br>[s]I The gravitational field strength inside the space station is zero.<br>II The space station and astronauts are both accelerating at the same rate towards the Earth.<br>III The forces acting on the astronauts are balanced.[/s]Which of these statements is/are correct?,,,I only,II only,III only,I and II only,II and III only,B,1,1
2022-07,2022,7,Space,Space Exploration,Which of the following lists the distances from longest to shortest?,,,radius of Earth; radius of orbit of Moon; diameter of galaxy,radius of orbit of Moon; radius of Earth; diameter of galaxy,diameter of galaxy; radius of orbit of Moon; radius of Earth,diameter of galaxy; radius of Earth; radius of orbit of Moon,radius of orbit of Moon; diameter of galaxy; radius of Earth,C,,1
2022-08,2022,8,Space,Space Exploration,"Three satellites X, Y, and Z are orbiting the Earth as shown.[c]{{IMAGE}}[/c]Satellite Z is a geostationary satellite.<br><br>Which row in the table shows possible periods for the orbits of satellites X, Y, and Z?",2022_Q08_Diagram.png,Period of orbit of satellite X (hours) | Period of orbit of satellite Y (hours) | Period of orbit of satellite Z (hours),12 | 18 | 24,24 | 18 | 12,24 | 24 | 24,40 | 36 | 24,4 | 6 | 12,A,,1
2022-09,2022,9,Space,Space Exploration,"A spacecraft has four rocket engines P, Q, R, and S and is travelling to the right as shown.[c]{{IMAGE}}[/c]When switched on, each rocket engine produces the same amount of force.<br><br>Which rocket engines are switched on to reduce the speed of the spacecraft?",2022_Q09_Diagram.png,,R and S,Q and S,P and Q,P and R,"P, Q, R, and S",A,,1
2022-10,2022,10,Space,Space Exploration,The weights of three masses on the surface of a planet are shown in the table.<br><br>[t]Mass (kg)|Weight (N)<br>0.50 | 4.4<br>2.5 | 22<br>4.0 | 35[/t]<br>The weight of a 6.0 kg mass on the surface of the planet is:,,,0.68 N,1.5 N,8.8 N,53 N,59 N,D,,1
2022-11,2022,11,Electricity,Electrical Charge Carriers,A hair dryer is connected to a 230 V supply. The current in the hair dryer is 2.0 A.<br><br>The electrical charge that passes through the hair dryer in 5 minutes is:,,,10 C,460 C,600 C,1150 C,2300 C,C,,1
2022-12,2022,12,Electricity,Ohm's Law,"The graph shows how the voltages across the components P, Q, and R vary with current.[c]{{IMAGE}}[/c]Based on this graph, a group of students make the following statements:<br>[s]I Component P has a greater resistance than component R.<br>II Component R has a greater resistance than component Q.<br>III Component Q has a resistance that decreases as the current increases.[/s]Which of these statements is/are correct?",2022_Q12_Diagram.png,,I only,II only,III only,I and III only,II and III only,D,1,1
2022-13,2022,13,Electricity,Practical Electrical and Electronic Circuits,A circuit is set up as shown.[c]{{IMAGE}}[/c]The resistors are identical.<br><br>Which row in the table shows the reading on the voltmeter and possible readings on ammeters \( A_{1} \) and \( A_{2} \)?,2022_Q13_Diagram.png,Reading on voltmeter (V) | Reading on ammeter \( A_{1} \) (A) | Reading on ammeter \( A_{2} \) (A),6 | 0.3 | 0.3,6 | 0.6 | 0.3,12 | 0.3 | 0.3,12 | 0.3 | 0.6,12 | 0.6 | 0.3,E,,1
2022-14,2022,14,Electricity,Practical Electrical and Electronic Circuits,Which of the following symbols represents a thermistor?,,,[IMG]2022_Q14_A.png,[IMG]2022_Q14_B.png,[IMG]2022_Q14_C.png,[IMG]2022_Q14_D.png,[IMG]2022_Q14_E.png,B,,1
2022-15,2022,15,Properties of Matter,Specific Latent Heat,Two substances X and Y are both solid at 20 °C.<br>The substances have the same mass and are supplied with the same amount of energy per second.<br>The graph shows how the temperature of each substance varies with time.[c]{{IMAGE}}[/c]A student uses information from the graph to make the following statements:<br>[s]I The specific heat capacity of the solid substance X is greater than that of the solid substance Y.<br>II Substance X changes state at a higher temperature than substance Y.<br>III The specific latent heat of fusion of substance X is greater than that of substance Y.[/s]Which of these statements is/are correct?,2022_Q15_Diagram.png,,I only,I and II only,III only,II and III only,"I, II and III",D,1,1
2022-16,2022,16,Properties of Matter,Specific Latent Heat,Heat from the Sun melts 1.6 kg of ice in 40 minutes.<br><br>The minimum heat energy required to change 1.6 kg of ice at 0 °C into water at 0 °C is:,,,6.7 × 10³ J,1.3 × 10⁴ J,2.1 × 10⁵ J,5.3 × 10⁵ J,3.6 × 10⁶ J,D,,1
2022-17,2022,17,Properties of Matter,Gas Laws and the Kinetic Model,A cyclist is riding a bicycle along a level road.[c]{{IMAGE}}[/c]The combined mass of the cyclist and bicycle is 70.0 kg.<br>The total contact area between the tyres and the road is 8.0 × 10⁻⁴ m².<br><br>The average pressure exerted by the tyres on the road is:,2022_Q17_Diagram.png,,1.2 × 10⁻⁶ Pa,5.6 × 10⁻² Pa,8.8 × 10⁴ Pa,4.3 × 10⁵ Pa,8.6 × 10⁵ Pa,E,1,1
2022-18,2022,18,Other,Non Specific,"The average kinetic energy of a gas molecule can be determined using the following relationship.<br>$$E_{k}=\frac{3}{2}k_{B}T$$where: [s]\( E_{k} \) is the average kinetic energy of a gas molecule in joules, J<br>\( k_{B} \) is Boltzmann's constant = 1.38 × 10⁻²³ J K⁻¹<br>\( T \) is the temperature of a gas molecule in kelvin, K.[/s]<br>The average kinetic energy of a gas molecule at 100 °C is:",,,2.07 × 10⁻²¹ J,3.58 × 10⁻²¹ J,5.15 × 10⁻²¹ J,5.65 × 10⁻²¹ J,7.72 × 10⁻²¹ J,E,,1
2022-19,2022,19,Waves,Wave Parameters and Behaviours,Which of the following is a longitudinal wave?,,,sound,radio,ultraviolet,infrared,light,A,,1
2022-20,2022,20,Waves,Wave Parameters and Behaviours,A radio station transmits radio signals with a frequency range from 3.0 MHz to 6.0 MHz.<br><br>The maximum wavelength of the radio signal transmitted is:,,,0.01 m,0.02 m,50 m,100 m,113 m,D,1,1
2022-21,2022,21,Waves,Electromagnetic Spectrum,A student draws a diagram to show the bands of the electromagnetic spectrum in order of increasing wavelength.[c]{{IMAGE}}[/c]The diagram is not correct.<br><br>Which two bands of the electromagnetic spectrum are in the wrong position?,2022_Q21_Diagram.png,,gamma rays and radio waves,X-rays and microwaves,infrared and ultraviolet,visible light and microwaves,X-rays and visible light,C,,1
2022-22,2022,22,Radiation,Nuclear Radiation,"A radioactive source emits alpha, beta, and gamma radiations.<br>Sheets of aluminium and paper are placed in front of the source as shown.[c]{{IMAGE}}[/c]Which row in the table shows the radiation(s) from the source detected at points P and Q?",2022_Q22_Diagram.png,Radiation(s) detected at P | Radiation(s) detected at Q,beta and gamma | gamma,beta | alpha,beta and gamma | beta and gamma,alpha and gamma | gamma,gamma | gamma,E,,1
2022-23,2022,23,Radiation,Nuclear Radiation,A radioactive sample emits 3000 alpha particles in 2 minutes.<br><br>The activity of the sample is:,,,25 Bq,1500 Bq,3000 Bq,6000 Bq,360 000 Bq,A,,1
2022-24,2022,24,Radiation,Nuclear Radiation,A radioactive substance is to be injected into a patient so that blood flow can be monitored using a detector.[c]{{IMAGE}}[/c]A number of different substances which emit either beta or gamma radiation are available.<br>The substances have different half-lives.<br><br>Which row in the table identifies the radiation emitted and the half-life of the most suitable substance?,2022_Q24_Diagram.png,Radiation emitted | Half-life,beta | 2 days,beta | 2 years,gamma | 2 seconds,gamma | 2 days,gamma | 2 years,D,,1
2022-25,2022,25,Radiation,Nuclear Radiation,Rhodium-106 has a half-life of 30 s.<br>A sample of rhodium-106 has an activity of 3200 Bq.<br><br>The activity of this sample after 120 s is:,,,27 Bq,107 Bq,200 Bq,400 Bq,800 Bq,C,,1
2021-01,2021,1,Dynamics,Vectors and Scalars,Which of the following is a vector quantity?,,,force,distance,mass,time,energy,A,,1
2021-02,2021,2,Dynamics,Newton's Laws,A skydiver falling from an aircraft reaches terminal velocity because,,,the air is very thin at high altitude,there is very little friction acting on the skydiver,gravitational field strength is less at high altitude,the skydiver’s weight is balanced by air friction,the skydiver is streamlined.,D,,1
2021-03,2021,3,Dynamics,Newton's Laws,"A block of mass 5.0 kg is placed on a smooth, horizontal surface.<br>Two forces are applied to the block as shown.<br>[c]{{IMAGE}}[/c]The acceleration of the block is",2021_Q03_Diagram.png,,0.50 m s⁻²,2.0 m s⁻²,3.0 m s⁻²,5.0 m s⁻²,8.0 m s⁻².,B,1,1
2021-04,2021,4,Other,Non Specific,"A student designs an experiment to investigate the relationship between the extension \( y \) of a spring and the magnitude of the force \( F \) applied to it.<br>Different masses are attached to the spring and the length of the spring is recorded for each mass.<br>[c]{{IMAGE}}[/c]The relationship between \( F \) and \( y \) is<br>$$F = ky$$where \( k \) is the spring constant of the spring.<br><br>The length of the spring with no mass attached is 0.080 m.<br>When a mass is attached to the spring, the length of the spring increases to 0.110 m.<br>The spring constant of the spring is 12 N m⁻¹.<br><br>The magnitude of the force applied to the spring is",2021_Q04_Diagram.png,,0.0025 N,0.36 N,1.3 N,2.3 N,400 N.,B,1,1
2021-05,2021,5,Dynamics,Projectile Motion,An arrow is fired horizontally with a velocity of 60 m s⁻¹.<br>The effects of air resistance on the arrow can be ignored.<br><br>Which pair of graphs shows how the horizontal velocity \( v_h \) and vertical velocity \( v_v \) of the arrow varies with time \( t \) during the first second of its flight?,,,[IMG]2021_Q05_A.png,[IMG]2021_Q05_B.png,[IMG]2021_Q05_C.png,[IMG]2021_Q05_D.png,[IMG]2021_Q05_E.png,D,,1
2021-06,2021,6,Space,Space Exploration,A satellite orbits the Earth at an altitude of 540 km.<br>The graph shows how gravitational field strength varies with altitude.<br>[c]{{IMAGE}}[/c]The mass of the satellite is 78 kg.<br><br>The weight of the satellite at this altitude is,2021_Q06_Graph.png,,620 N,640 N,650 N,740 N,760 N.,C,,1
2021-07,2021,7,Space,Space Exploration,A student makes the following statements about geostationary satellites in orbit around the Earth.<br>[s]I   The orbital period of a geostationary satellite is 24 hours.<br>II  Geostationary satellites remain above the same point on the Earth’s surface.<br>III Geostationary satellites orbit at different altitudes.[/s]Which of these statements is/are correct?,,,I only,II only,I and II only,II and III only,"I, II and III",C,,1
2021-08,2021,8,Space,Cosmology,A star is 2.4 x 10¹⁸ m from Earth.<br><br>This distance in light-years is,,,3.9 x 10⁻³,2.5 x 10²,1.5 x 10⁴,8.0 x 10⁹,9.5 x 10¹⁵,B,1,1
2021-09,2021,9,Space,Cosmology,"Light from a star is split into a line spectrum of different colours.<br>The line spectrum from the star is shown, along with the line spectra of the elements calcium, helium, hydrogen, and sodium.<br>[c]{{IMAGE}}[/c]The elements present in this star are",2021_Q09_Spectra.png,,sodium and calcium,calcium and helium,hydrogen and sodium,helium and hydrogen,"calcium, sodium and hydrogen.",C,,1
2021-10,2021,10,Electricity,Electrical Charge Carriers,A heating element is connected to a 12 V supply.<br>The power rating of the heating element is 48 W.<br><br>The charge that passes through the heating element in 5 minutes is,,,0.80 C,1.25 C,20 C,75 C,1200 C.,E,1,1
2021-11,2021,11,Electricity,Electrical Charge Carriers,An oscilloscope is used to test three different power supplies.<br>The diagrams represent the traces seen on the screen of the oscilloscope.<br>[c]{{IMAGE}}[/c]Which of these traces represent a d.c. signal?,2021_Q11_Traces.png,,X only,Y only,X and Y only,X and Z only,"X, Y and Z",D,,1
2021-12,2021,12,Electricity,Ohm's Law,"The graph shows how the voltage varies with current for three resistors X, Y and Z.<br>[c]{{IMAGE}}[/c]A student makes the following statements using information from the graph.<br>[s]I   The resistance of resistor X is greater than that of resistors Y and Z.<br>II  When the voltage across resistor Y is 2.0 V, the current in the resistor is 2.0 A.<br>III The resistance of resistor Z is 0.25 Ω.[/s]Which of these statements is/are correct?",2021_Q12_Graph.png,,I only,II only,III only,II and III only,"I, II and III",E,1,1
2021-13,2021,13,Electricity,Practical Electrical and Electronic Circuits,In which of the following circuits would the readings on the meters allow the resistance of \( R_2 \) to be calculated?,,,[IMG]2021_Q13_A.png,[IMG]2021_Q13_B.png,[IMG]2021_Q13_C.png,[IMG]2021_Q13_D.png,[IMG]2021_Q13_E.png,A,,1
2021-14,2021,14,Properties of Matter,Specific Latent Heat,A heater is immersed in a substance.<br>The heater is then switched on.<br>The graph shows the temperature \( T \) of the substance over a period of time \( t \).<br>[c]{{IMAGE}}[/c]Which row in the table identifies the sections of the graph when the substance is changing state from a solid to a liquid and from a liquid to a gas?,2021_Q14_Graph.png,solid to liquid | liquid to gas,QR | TU,QR | ST,PQ | RS,PQ | TU,ST | QR,B,,1
2021-15,2021,15,Properties of Matter,Specific Latent Heat,A sample of water is at a temperature of 100 °C.<br>The sample absorbs 9.0 x 10⁴ J of energy.<br><br>The mass of water changed to steam at 100 °C is,,,0.027 kg,0.040 kg,0.22 kg,22 kg,25 kg.,B,,1
2021-16,2021,16,Properties of Matter,Gas Laws and the Kinetic Model,"A solid rectangular block is placed on a flat, smooth table as shown.<br>[c]{{IMAGE}}[/c]The weight of the block is 28 N.<br><br>The pressure exerted on the table by the block is",2021_Q16_Diagram.png,,140 Pa,280 Pa,560 Pa,1400 Pa,28 000 Pa.,D,,1
2021-17,2021,17,Properties of Matter,Gas Laws and the Kinetic Model,A gas is contained inside a sealed syringe.<br>The volume of the gas in the syringe is decreased.<br>During this time the temperature of the gas is unchanged.<br><br>This change in volume causes the gas particles to,,,move faster,hit the walls of the syringe less often,move slower,gain kinetic energy,hit the walls of the syringe more often.,E,1,1
2021-18,2021,18,Properties of Matter,Gas Laws and the Kinetic Model,A liquid is heated from 22 °C to 64 °C.<br><br>The temperature rise in kelvin is,,,42 K,86 K,315 K,337 K,359 K.,A,,1
2021-19,2021,19,Waves,Wave Parameters and Behaviours,Five water waves pass a point in a time of 10 seconds.<br><br>Which row in the table shows the frequency of the waves and the period of the waves?,,Frequency of the waves (Hz) | Period of the waves (s),0.5 | 2,0.5 | 0.5,2 | 0.5,50 | 0.02,50 | 2,A,,1
2021-20,2021,20,Waves,Refraction of Light,"A ray of red light travels from air into a glass block.<br><br>Which row in the table shows the effect, if any, on the wavelength and speed of the red light as it passes into the glass block?",,Wavelength | Speed,decreases | stays the same,stays the same | increases,decreases | decreases,stays the same | decreases,increases | increases,C,,1
2021-21,2021,21,Waves,Refraction of Light,Which of the following diagrams shows the path of a ray of red light as it passes from air into a glass block?,,,[IMG]2021_Q21_A.png,[IMG]2021_Q21_B.png,[IMG]2021_Q21_C.png,[IMG]2021_Q21_D.png,[IMG]2021_Q21_E.png,C,,1
2021-22,2021,22,Radiation,Nuclear Radiation,"A uniform electric field exists between two oppositely charged parallel metal plates.<br>An alpha particle, a beta particle and a gamma ray each pass between the metal plates.<br>They follow different paths as shown.<br>[c]{{IMAGE}}[/c]Which row in the table shows the types of radiation that follow paths X, Y and Z?",2021_Q22_Diagram.png,Type of radiation that follows path X | Type of radiation that follows path Y | Type of radiation that follows path Z,alpha | beta | gamma,alpha | gamma | beta,beta | alpha | gamma,beta | gamma | alpha,gamma | alpha | beta,D,,1
2021-23,2021,23,Radiation,Nuclear Radiation,During ionisation an atom becomes a positive ion.<br><br>Which of the following has been removed from the atom?,,,An electron,An alpha particle,A proton,A neutron,A gamma ray,A,,1
2021-24,2021,24,Radiation,Nuclear Radiation,"A Geiger-Müller tube connected to a counter is placed in front of a radioactive source.<br>[c]{{IMAGE}}[/c]The number of counts recorded in one minute is 3890.<br>Different shielding materials are now placed in turn between the source and the Geiger-Müller tube, and the number of counts per minute is recorded.<br>[t]Shielding material | Number of counts per minute<br>no shielding material | 3890<br>sheet of paper | 2110<br>1 cm of aluminium | 2112<br>5 cm of lead | 365[/t]<br>The source is emitting",2021_Q24_Diagram.png,,alpha radiation only,beta radiation only,alpha and beta radiation only,alpha and gamma radiation only,beta and gamma radiation only.,D,,1
2021-25,2021,25,Radiation,Nuclear Radiation,"During radiation treatment, a patient’s liver absorbs 90 µJ of gamma radiation.<br>The mass of the liver is 2.0 kg.<br><br>The absorbed dose received by the liver is",,,45 µGy,88 µGy,90 µGy,92 µGy,180 µGy.,A,,1
2019-01,2019,1,Dynamics,Vectors and Scalars,Which of the following are both vectors?,,,weight and acceleration,kinetic energy and acceleration,mass and acceleration,force and speed,speed and acceleration,A,,1
2019-02,2019,2,Dynamics,Acceleration,A car is travelling at 6.0 m s⁻¹ along a straight level road.<br>The car then accelerates uniformly at 2.0 m s⁻² for 4.0 s.<br><br>The final speed of the car is,,,8.0 m s⁻¹,14 m s⁻¹,22 m s⁻¹,26 m s⁻¹,48 m s⁻¹,B,,1
2019-03,2019,3,Dynamics,Acceleration,The graph shows how the speed \( v \) of a car varies with time \( t \).<br>[c]{{IMAGE}}[/c]During which part of the journey does the car have the greatest acceleration?,2019_Q03_Graph.png,,OP,PQ,QR,RS,ST,E,,1
2019-04,2019,4,Dynamics,Projectile Motion,"A ball is kicked horizontally off a high river bank as shown.<br>[c]{{IMAGE}}[/c]The ball lands on the lower river bank at X, 2.0 s after the ball is kicked.<br>The river is 3.0 m wide.<br>The effect of air resistance on the ball is negligible.<br><br>The distance \( d \) between the edge of the lower river bank and X is",2019_Q04_Diagram.png,,1.0 m,4.0 m,13 m,16 m,19 m,C,1,1
2019-05,2019,5,Space,Cosmology,"The table gives the distance from Earth, the approximate surface temperature and the age of five stars.<br>[t]Star | Distance from Earth (light-years) | Approximate surface temperature (K) | Age (years)<br>Sirius A | 8.6 | 9900 | 2.4 x 10⁸<br>Polaris | 430 | 6000 | 7.0 x 10⁷<br>Betelgeuse | 640 | 3600 | 7.9 x 10⁶<br>Rigel | 860 | 11000 | 8.0 x 10⁶<br>VY Canis Majoris | 3900 | 3500 | 1.0 x 10⁷[/t]<br>A student makes the following statements based on this information.<br>[s]I As the distance from Earth increases, the age of a star decreases.<br>II As the age of a star increases, the approximate surface temperature of the star increases.<br>III There is no apparent relationship between the distance from Earth and the approximate surface temperature of a star.[/s]Which of these statements is/are correct?",,,I only,II only,III only,I and III only,"I, II and III",C,1,1
2019-06,2019,6,Space,Space Exploration,A geostationary satellite orbits the Earth.<br><br>Which row in the table shows the altitude above the surface of the Earth and orbital period of the geostationary satellite?,,Altitude above the surface<br>of the Earth (km) | Orbital period<br>(hours),36 000 | 12,36 000 | 24,36 000 | 48,18 000 | 12,18 000 | 24,B,,1
2019-07,2019,7,Space,Space Exploration,The weight of a robot on Earth is 240 N.<br><br>The weight of the robot on Mars is,,,3.7 N,65 N,91 N,240 N,890 N,C,1,1
2019-08,2019,8,Electricity,Electrical Charge Carriers,A hairdryer is connected to a 230 V supply.<br>The current in the hairdryer is 2.0 A.<br><br>The electrical charge that passes through the hairdryer in 5 minutes is,,,10 C,460 C,600 C,1150 C,69 000 C,C,,1
2019-09,2019,9,Electricity,Ohm's Law,The graph shows how the resistance \( R \) of a thermistor varies with temperature \( T \).<br>[c]{{IMAGE}}[/c]The thermistor is connected in a circuit.<br>At a temperature of 50 °C the current in the thermistor is 0.004 A.<br><br>At this temperature the voltage across the thermistor is,2019_Q09_Graph.png,,0.000 02 V,0.002 V,0.008 V,8 V,500 V,D,,1
2019-10,2019,10,Electricity,Practical Electrical and Electronic Circuits,A student sets up the circuits shown.<br><br>In which circuit will both LEDs be lit?,,,[IMG]2019_Q10_A.png,[IMG]2019_Q10_B.png,[IMG]2019_Q10_C.png,[IMG]2019_Q10_D.png,[IMG]2019_Q10_E.png,E,,1
2019-11,2019,11,Electricity,Practical Electrical and Electronic Circuits,A circuit is set up as shown.<br>[c]{{IMAGE}}[/c]The room temperature is 20 °C.<br>The lamp is off.<br><br>The lamp will light when,2019_Q11_Diagram.png,,the light level is decreased below a certain value,the light level is increased above a certain value,the resistance of R is increased above a certain value,the battery voltage is reduced to 5 V,the temperature is increased above a certain value,A,1,1
2019-12,2019,12,Electricity,Practical Electrical and Electronic Circuits,A circuit is set up as shown.<br>[c]{{IMAGE}}[/c]A student makes the following statements about the readings on the voltmeters.<br>[s]I \( V_1 = V_2 \)<br>II \( V_2 = V_3 \)<br>III \( V_S = V_1 + V_2 \)[/s]Which of these statements must always be true?,2019_Q12_Diagram.png,,II only,I and II only,I and III only,II and III only,"I, II and III",D,1,1
2019-13,2019,13,Properties of Matter,Specific Latent Heat,A solid substance is placed in an insulated container and heated.<br>The graph shows how the temperature \( T \) of the substance varies with time \( t \).<br>[c]{{IMAGE}}[/c]To calculate the specific latent heat of fusion of the substance a student would use the time from section,2019_Q13_Graph.png,,PQ,QR,RS,ST,TU,B,,1
2019-14,2019,14,Other,Non Specific,"The pressure \( p \) due to a liquid at a depth \( h \) is given by the relationship<br>$$p = \rho g h$$where \( \rho \) is the density of the liquid and \( g \) is the gravitational field strength.<br>A liquid has a density of 990 kg m⁻³.<br><br>When the pressure due to the liquid is 1470 Pa, the depth in the liquid is",,,0.069 m,0.15 m,0.67 m,1.5 m,6.6 m,B,,1
2019-15,2019,15,Properties of Matter,Gas Laws and the Kinetic Model,A car is parked in the sun for some time.<br>During this time the air pressure inside the tyres increases.<br><br>The reason for this increase in pressure is,,,the volume occupied by the air particles in the tyres has increased,the force produced by the air particles in the tyres acts over a smaller area,the average spacing between the air particles in the tyres has increased,the increased temperature has made the air particles in the tyres expand,the air particles in the tyres are moving with greater kinetic energy,E,,1
2019-16,2019,16,Properties of Matter,Gas Laws and the Kinetic Model,The temperature of a sample of gas in a container is 20 °C.<br>The volume of the gas is 0.30 m³.<br><br>The container is free to expand in order to maintain a constant pressure.<br>The temperature of the gas is increased to 50 °C.<br><br>The volume now occupied by the gas is,,,0.12 m³,0.27 m³,0.30 m³,0.33 m³,0.75 m³,D,1,1
2019-17,2019,17,Waves,Wave Parameters and Behaviours,The following diagram gives information about a wave.<br>[c]{{IMAGE}}[/c]Which row in the table shows the amplitude and wavelength of the wave?,2019_Q17_Diagram.png,Amplitude (m) | Wavelength (m),3 | 4,3 | 8,6 | 4,6 | 8,8 | 3,B,,1
2019-18,2019,18,Waves,Wave Parameters and Behaviours,A student is studying waves with a period of 80.0 ms and a wavelength of 4.00 m.<br><br>The frequency of these waves is,,,0.0125 Hz,0.320 Hz,12.5 Hz,80.0 Hz,320 Hz,C,,1
2019-19,2019,19,Waves,Wave Parameters and Behaviours,Which of the following diagrams shows the diffraction of water waves as they pass between two walls?,,,[IMG]2019_Q19_A.png,[IMG]2019_Q19_B.png,[IMG]2019_Q19_C.png,[IMG]2019_Q19_D.png,[IMG]2019_Q19_E.png,D,,1
2019-20,2019,20,Waves,Refraction of Light,A ray of red light passes through a glass block as shown.<br>[c]{{IMAGE}}[/c]Which row in the table shows the angle of incidence and the corresponding angle of refraction at point X?,2019_Q20_Diagram.png,Angle of incidence | Angle of refraction,35° | 60°,30° | 55°,35° | 30°,55° | 30°,60° | 35°,A,,1
2019-21,2019,21,Radiation,Nuclear Radiation,Which row in the table shows the paths taken by alpha particles and gamma radiation as they pass through a uniform electric field between two metal plates?,,Path taken by alpha particles | Path taken by gamma radiation,[IMG]2019_Q21_A1.png|[IMG]2019_Q21_A2.png,[IMG]2019_Q21_B1.png|[IMG]2019_Q21_B2.png,[IMG]2019_Q21_C1.png|[IMG]2019_Q21_C2.png,[IMG]2019_Q21_D1.png|[IMG]2019_Q21_D2.png,[IMG]2019_Q21_E1.png|[IMG]2019_Q21_E2.png,B,,1
2019-22,2019,22,Radiation,Nuclear Radiation,"For a particular radioactive source, 1800 atoms decay in a time of 3 minutes.<br><br>The activity of the source is",,,10 Bq,600 Bq,1800 Bq,5400 Bq,324 000 Bq,A,,1
2019-23,2019,23,Radiation,Nuclear Radiation,The crew on an aircraft during a transatlantic flight are exposed to cosmic radiation at an equivalent dose rate of 5.0 µSv h⁻¹.<br>The crew complete 6 transatlantic flights each month. The average duration of a flight is 8 hours.<br><br>The equivalent dose received by the crew due to cosmic radiation during transatlantic flights in one year is,,,30 µSv,40 µSv,60 µSv,240 µSv,2880 µSv,E,1,1
2019-24,2019,24,Radiation,Nuclear Radiation,A radioactive tracer is injected into a patient to enable doctors to check the function of a patient’s kidneys.<br>Radiation from the tracer is monitored outside the patient’s body by a detector.<br><br>Which row in the table shows the most suitable type of radiation emitted and the half-life for the tracer?,,Type of radiation emitted | Half-life of tracer,alpha | 6 hours,beta | 6 hours,beta | 6 years,gamma | 6 hours,gamma | 6 years,D,,1
2019-25,2019,25,Radiation,Nuclear Radiation,The activity of a radioactive source is 56 MBq.<br>The activity of the source 40 hours later is 3.5 MBq.<br><br>The half-life of this source is,,,8 hours,10 hours,16 hours,20 hours,28 hours,B,,1
2018-01,2018,1,Dynamics,Vectors and Scalars,Which of the following is a scalar quantity?,,,velocity,displacement,acceleration,force,speed,E,,1
2018-02,2018,2,Dynamics,Vectors and Scalars,"A security guard starts at the corner of a warehouse, walks round the warehouse as shown and arrives back at the same corner.[c]{{IMAGE}}[/c]Which row in the table shows the total distance walked by the security guard and the magnitude of the displacement of the security guard from the start to the end of the walk?",2018_Q02_Diagram.png,Total distance (m)|Displacement (m),0|0,0|340,170|130,340|0,340|340,D,,1
2018-03,2018,3,Dynamics,Newton's Laws,A ball is thrown vertically upwards. The ball reaches its maximum height.<br><br>Which of the following describes the forces acting on the ball at this instant?,,,There is no vertical force acting on the ball.,There is only a horizontal force acting on the ball.,There is an upward force acting on the ball.,The forces acting on the ball are balanced.,There is only a downward force acting on the ball.,E,1,1
2018-04,2018,4,Dynamics,Energy,A motor is used to apply a force of 120 N to a box of mass 30 kg.[c]{{IMAGE}}[/c]The box moves at a constant speed across a horizontal surface.<br>The box moves a distance of 25 m in a time of 5.0 s.<br><br>Which row in the table shows the work done on the box and the minimum output power of the motor?,2018_Q04_Diagram.png,Work done (J)|Minimum output power (W),600|120,600|3000,3000|600,3000|15 000,3600|720,C,1,1
2018-05,2018,5,Space,Space Exploration,A galaxy is a collection of,,,stars,satellites,moons,planets,asteroids.,A,,1
